Last_Name,First_Name,Phone,Email,Title,Designation
Dodge,John,5558899865,jdodge@example.com,Mr.,SVP of Sales
Smith,Samantha,5553398208,ssnith@example.com,Ms.,Senior Sales Rep
Dapper,George,5559924600,gdapper@example.com,Dr.,Director of Healthcare
Dodge,Jack ,5558880088,jdodge2@example.com,Mr.,EVP of Sales
Jones,Jessica,5559998823,jjones@example.com,Mrs.,Senior Sales Rep
Lukaku,Romelu,5558888888,rlukaku@example.com,Mr.,Janitor
Smith,Sarah,5559998888,ssmith@example.com,Ms.,Sales Rep
Tucket,Kyle,55599900001,tucketk@example.com,Dr.,Administrator
Ferrigno,Lou,5552348888,louferr@example.com,Mr.,Sales Rep
Ruffalo,Mark,0009922188,ruffmark21@example.com,Mr.,Manager
